yourlist:M20191006E5A08BB0B2D1C45B0C7BC3B55FD265564BC80E0	Entry	Protein names
P0C0S8	P0C0S8	Histone H2A type 1 (H2A.1) (Histone H2A/ptl)
Q7KZ85	Q7KZ85	Transcription elongation factor SPT6 (hSPT6) (Histone chaperone suppressor of Ty6) (Tat-cotransactivator 2 protein) (Tat-CT2 protein)
P52597	P52597	Heterogeneous nuclear ribonucleoprotein F (hnRNP F) (Nucleolin-like protein mcs94-1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein F, N-terminally processed]
P55795	P55795	Heterogeneous nuclear ribonucleoprotein H2 (hnRNP H2) (FTP-3) (Heterogeneous nuclear ribonucleoprotein H') (hnRNP H') [Cleaved into: Heterogeneous nuclear ribonucleoprotein H2, N-terminally processed]
Q69YN4	Q69YN4	Protein virilizer homolog
Q86U42	Q86U42	Polyadenylate-binding protein 2 (PABP-2) (Poly(A)-binding protein 2) (Nuclear poly(A)-binding protein 1) (Poly(A)-binding protein II) (PABII) (Polyadenylate-binding nuclear protein 1)
P13639	P13639	Elongation factor 2 (EF-2)
Q92552	Q92552	28S ribosomal protein S27, mitochondrial (MRP-S27) (S27mt) (Mitochondrial ribosomal protein S27) (Mitochondrial small ribosomal subunit protein mS27)
P68363	P68363	Tubulin alpha-1B chain (Alpha-tubulin ubiquitous) (Tubulin K-alpha-1) (Tubulin alpha-ubiquitous chain) [Cleaved into: Detyrosinated tubulin alpha-1B chain]
Q9Y490	Q9Y490	Talin-1
P07737	P07737	Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I)
P35270	P35270	Sepiapterin reductase (SPR) (EC 1.1.1.153)
O75594	O75594	Peptidoglycan recognition protein 1 (Peptidoglycan recognition protein short) (PGRP-S)
Q9Y4D8	Q9Y4D8	Probable E3 ubiquitin-protein ligase HECTD4 (EC 2.3.2.26) (HECT domain-containing protein 4) (HECT-type E3 ubiquitin transferase HECTD4)
Q9P270	Q9P270	SLAIN motif-containing protein 2
O75044	O75044	SLIT-ROBO Rho GTPase-activating protein 2 (srGAP2) (Formin-binding protein 2) (Rho GTPase-activating protein 34)
Q9Y224	Q9Y224	RNA transcription, translation and transport factor protein (CLE7 homolog) (CLE) (hCLE)
O00750	O00750	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta (PI3K-C2-beta) (PtdIns-3-kinase C2 subunit beta) (EC 2.7.1.154) (C2-PI3K) (Phosphoinositide 3-kinase-C2-beta)
Q6DD88	Q6DD88	Atlastin-3 (EC 3.6.5.-)
Q12802	Q12802	A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc) (Breast cancer nuclear receptor-binding auxiliary protein) (Guanine nucleotide exchange factor Lbc) (Human thyroid-anchoring protein 31) (Lymphoid blast crisis oncogene) (LBC oncogene) (Non-oncogenic Rho GTPase-specific GTP exchange factor) (Protein kinase A-anchoring protein 13) (PRKA13) (p47)
O96009	O96009	Napsin-A (EC 3.4.23.-) (Aspartyl protease 4) (ASP4) (Asp 4) (Napsin-1) (TA01/TA02)
O60921	O60921	Checkpoint protein HUS1 (hHUS1)
Q9UQL6	Q9UQL6	Histone deacetylase 5 (HD5) (EC 3.5.1.98) (Antigen NY-CO-9)
P49643	P49643	DNA primase large subunit (EC 2.7.7.-) (DNA primase 58 kDa subunit) (p58)
Q6P597	Q6P597	Kinesin light chain 3 (KLC2-like) (kinesin light chain 2)
Q86YZ3	Q86YZ3	Hornerin
Q9P2M7	Q9P2M7	Cingulin
Q09666	Q09666	Neuroblast differentiation-associated protein AHNAK (Desmoyokin)
Q8TE04	Q8TE04	Pantothenate kinase 1 (hPanK) (hPanK1) (EC 2.7.1.33) (Pantothenic acid kinase 1)
Q02790	Q02790	Peptidyl-prolyl cis-trans isomerase FKBP4 (PPIase FKBP4) (EC 5.2.1.8) (51 kDa FK506-binding protein) (FKBP51) (52 kDa FK506-binding protein) (52 kDa FKBP) (FKBP-52) (59 kDa immunophilin) (p59) (FK506-binding protein 4) (FKBP-4) (FKBP59) (HSP-binding immunophilin) (HBI) (Immunophilin FKBP52) (Rotamase) [Cleaved into: Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed]
Q99829	Q99829	Copine-1 (Chromobindin 17) (Copine I)
Q9Y3I0	Q9Y3I0	tRNA-splicing ligase RtcB homolog (EC 6.5.1.3)
Q14764	Q14764	Major vault protein (MVP) (Lung resistance-related protein)
Q7Z401	Q7Z401	C-myc promoter-binding protein (DENN domain-containing protein 4A)
Q9NZM1	Q9NZM1	Myoferlin (Fer-1-like protein 3)
Q14517	Q14517	Protocadherin Fat 1 (Cadherin family member 7) (Cadherin-related tumor suppressor homolog) (Protein fat homolog) [Cleaved into: Protocadherin Fat 1, nuclear form]
Q8N8S7	Q8N8S7	Protein enabled homolog
Q07157	Q07157	Tight junction protein ZO-1 (Tight junction protein 1) (Zona occludens protein 1) (Zonula occludens protein 1)
Q8TDR0	Q8TDR0	TRAF3-interacting protein 1 (Interleukin-13 receptor alpha 1-binding protein 1) (Intraflagellar transport protein 54 homolog) (Microtubule-interacting protein associated with TRAF3) (MIP-T3)
Q01484	Q01484	Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin) (Non-erythroid ankyrin)
Q6VY07	Q6VY07	Phosphofurin acidic cluster sorting protein 1 (PACS-1)
O43493	O43493	Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)
Q15599	Q15599	Na(+)/H(+) exchange regulatory cofactor NHE-RF2 (NHERF-2) (NHE3 kinase A regulatory protein E3KARP) (SRY-interacting protein 1) (SIP-1) (Sodium-hydrogen exchanger regulatory factor 2) (Solute carrier family 9 isoform A3 regulatory factor 2) (Tyrosine kinase activator protein 1) (TKA-1)
Q96C90	Q96C90	Protein phosphatase 1 regulatory subunit 14B (Phospholipase C-beta-3 neighbouring gene protein)
P25098	P25098	Beta-adrenergic receptor kinase 1 (Beta-ARK-1) (EC 2.7.11.15) (G-protein coupled receptor kinase 2)
Q96RU3	Q96RU3	Formin-binding protein 1 (Formin-binding protein 17) (hFBP17)
P16157	P16157	Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin)
O00255	O00255	Menin
Q9BYM8	Q9BYM8	RanBP-type and C3HC4-type zinc finger-containing protein 1 (EC 2.3.2.31) (HBV-associated factor 4) (Heme-oxidized IRP2 ubiquitin ligase 1) (HOIL-1) (Hepatitis B virus X-associated protein 4) (RING finger protein 54) (RING-type E3 ubiquitin transferase HOIL-1) (Ubiquitin-conjugating enzyme 7-interacting protein 3)
O95619	O95619	YEATS domain-containing protein 4 (Glioma-amplified sequence 41) (Gas41) (NuMA-binding protein 1) (NuBI-1) (NuBI1)
Q99638	Q99638	Cell cycle checkpoint control protein RAD9A (hRAD9) (EC 3.1.11.2) (DNA repair exonuclease rad9 homolog A)
Q14318	Q14318	Peptidyl-prolyl cis-trans isomerase FKBP8 (PPIase FKBP8) (EC 5.2.1.8) (38 kDa FK506-binding protein) (38 kDa FKBP) (FKBP-38) (hFKBP38) (FK506-binding protein 8) (FKBP-8) (FKBPR38) (Rotamase)
P43694	P43694	Transcription factor GATA-4 (GATA-binding factor 4)
Q92908	Q92908	Transcription factor GATA-6 (GATA-binding factor 6)
Q8TCJ0	Q8TCJ0	F-box only protein 25
Q9UKT5	Q9UKT5	F-box only protein 4
Q9Y3I1	Q9Y3I1	F-box only protein 7
P21359	P21359	Neurofibromin (Neurofibromatosis-related protein NF-1) [Cleaved into: Neurofibromin truncated]
P09848	P09848	Lactase-phlorizin hydrolase (Lactase-glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Phlorizin hydrolase (EC 3.2.1.62)]
Q13009	Q13009	T-lymphoma invasion and metastasis-inducing protein 1 (TIAM-1)
P32239	P32239	Gastrin/cholecystokinin type B receptor (CCK-B receptor) (CCK-BR) (Cholecystokinin-2 receptor) (CCK2-R)
P20585	P20585	DNA mismatch repair protein Msh3 (hMSH3) (Divergent upstream protein) (DUP) (Mismatch repair protein 1) (MRP1)
Q99497	Q99497	Protein/nucleic acid deglycase DJ-1 (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Maillard deglycase) (Oncogene DJ1) (Parkinson disease protein 7) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1)
Q8N5M1	Q8N5M1	ATP synthase mitochondrial F1 complex assembly factor 2 (ATP12 homolog)
P20265	P20265	POU domain, class 3, transcription factor 2 (Brain-specific homeobox/POU domain protein 2) (Brain-2) (Brn-2) (Nervous system-specific octamer-binding transcription factor N-Oct-3) (Octamer-binding protein 7) (Oct-7) (Octamer-binding transcription factor 7) (OTF-7)
P23760	P23760	Paired box protein Pax-3 (HuP2)
Q86XK2	Q86XK2	F-box only protein 11 (Protein arginine N-methyltransferase 9) (Vitiligo-associated protein 1) (VIT-1)
O94811	O94811	Tubulin polymerization-promoting protein (TPPP) (25 kDa brain-specific protein) (TPPP/p25) (p24) (p25-alpha)
Q9BV36	Q9BV36	Melanophilin (Exophilin-3) (Slp homolog lacking C2 domains a) (SlaC2-a) (Synaptotagmin-like protein 2a)
P05813	P05813	Beta-crystallin A3 [Cleaved into: Beta-crystallin A3, isoform A1, Delta4 form; Beta-crystallin A3, isoform A1, Delta7 form; Beta-crystallin A3, isoform A1, Delta8 form]
O43283	O43283	Mitogen-activated protein kinase kinase kinase 13 (EC 2.7.11.25) (Leucine zipper-bearing kinase) (Mixed lineage kinase) (MLK)
P49711	P49711	Transcriptional repressor CTCF (11-zinc finger protein) (CCCTC-binding factor) (CTCFL paralog)
P07306	P07306	Asialoglycoprotein receptor 1 (ASGP-R 1) (ASGPR 1) (C-type lectin domain family 4 member H1) (Hepatic lectin H1) (HL-1)
P07307	P07307	Asialoglycoprotein receptor 2 (ASGP-R 2) (ASGPR 2) (C-type lectin domain family 4 member H2) (Hepatic lectin H2) (HL-2)
O15245	O15245	Solute carrier family 22 member 1 (Organic cation transporter 1) (hOCT1)
O14777	O14777	Kinetochore protein NDC80 homolog (Highly expressed in cancer protein) (Kinetochore protein Hec1) (HsHec1) (Kinetochore-associated protein 2) (Retinoblastoma-associated protein HEC)
O15519	O15519	CASP8 and FADD-like apoptosis regulator (Caspase homolog) (CASH) (Caspase-eight-related protein) (Casper) (Caspase-like apoptosis regulatory protein) (CLARP) (Cellular FLICE-like inhibitory protein) (c-FLIP) (FADD-like antiapoptotic molecule 1) (FLAME-1) (Inhibitor of FLICE) (I-FLICE) (MACH-related inducer of toxicity) (MRIT) (Usurpin) [Cleaved into: CASP8 and FADD-like apoptosis regulator subunit p43; CASP8 and FADD-like apoptosis regulator subunit p12]
Q8WVM7	Q8WVM7	Cohesin subunit SA-1 (SCC3 homolog 1) (Stromal antigen 1)
O60216	O60216	Double-strand-break repair protein rad21 homolog (hHR21) (Nuclear matrix protein 1) (NXP-1) (SCC1 homolog) [Cleaved into: 64-kDa C-terminal product (64-kDa carboxy-terminal product) (65-kDa carboxy-terminal product)]
Q12948	Q12948	Forkhead box protein C1 (Forkhead-related protein FKHL7) (Forkhead-related transcription factor 3) (FREAC-3)
Q9BZD4	Q9BZD4	Kinetochore protein Nuf2 (hNuf2) (hNuf2R) (hsNuf2) (Cell division cycle-associated protein 1)
Q9NZJ0	Q9NZJ0	Denticleless protein homolog (DDB1- and CUL4-associated factor 2) (Lethal(2) denticleless protein homolog) (Retinoic acid-regulated nuclear matrix-associated protein)
Q04725	Q04725	Transducin-like enhancer protein 2 (Enhancer of split groucho-like protein 2) (ESG2)
P63172	P63172	Dynein light chain Tctex-type 1 (Protein CW-1) (T-complex testis-specific protein 1 homolog)
Q9BQS6	Q9BQS6	Heat shock protein beta-9 (HspB9) (Cancer/testis antigen 51) (CT51)
P11277	P11277	Spectrin beta chain, erythrocytic (Beta-I spectrin)
Q96B01	Q96B01	RAD51-associated protein 1 (RAD51-interacting protein)
P19447	P19447	General transcription and DNA repair factor IIH helicase subunit XPB (TFIIH subunit XPB) (EC 3.6.4.12) (Basic transcription factor 2 89 kDa subunit) (BTF2 p89) (DNA excision repair protein ERCC-3) (DNA repair protein complementing XP-B cells) (TFIIH basal transcription factor complex 89 kDa subunit) (TFIIH 89 kDa subunit) (TFIIH p89) (Xeroderma pigmentosum group B-complementing protein)
P05771	P05771	Protein kinase C beta type (PKC-B) (PKC-beta) (EC 2.7.11.13)
Q8TAT6	Q8TAT6	Nuclear protein localization protein 4 homolog (Protein NPL4)
P07339	P07339	Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]
P05089	P05089	Arginase-1 (EC 3.5.3.1) (Liver-type arginase) (Type I arginase)
P61587	P61587	Rho-related GTP-binding protein RhoE (Protein MemB) (Rho family GTPase 3) (Rho-related GTP-binding protein Rho8) (Rnd3)
Q6P4F7	Q6P4F7	Rho GTPase-activating protein 11A (Rho-type GTPase-activating protein 11A)
Q96PE2	Q96PE2	Rho guanine nucleotide exchange factor 17 (164 kDa Rho-specific guanine-nucleotide exchange factor) (p164-RhoGEF) (p164RhoGEF) (Tumor endothelial marker 4)
O00515	O00515	Ladinin-1 (Lad-1) (Linear IgA disease antigen) (LADA)
Q7KZI7	Q7KZI7	Serine/threonine-protein kinase MARK2 (EC 2.7.11.1) (EC 2.7.11.26) (ELKL motif kinase 1) (EMK-1) (MAP/microtubule affinity-regulating kinase 2) (PAR1 homolog) (PAR1 homolog b) (Par-1b) (Par1b)
Q9Y446	Q9Y446	Plakophilin-3
Q99959	Q99959	Plakophilin-2
O95171	O95171	Sciellin
Q9UJM3	Q9UJM3	ERBB receptor feedback inhibitor 1 (Mitogen-inducible gene 6 protein) (MIG-6)
Q9UBF8	Q9UBF8	Phosphatidylinositol 4-kinase beta (PI4K-beta) (PI4Kbeta) (PtdIns 4-kinase beta) (EC 2.7.1.67) (NPIK) (PI4K92)
Q8NEM2	Q8NEM2	SHC SH2 domain-binding protein 1
P30291	P30291	Wee1-like protein kinase (WEE1hu) (EC 2.7.10.2) (Wee1A kinase)
Q71H61	Q71H61	Immunoglobulin-like domain-containing receptor 2
Q86YV5	Q86YV5	Inactive tyrosine-protein kinase PRAG1 (PEAK1-related kinase-activating pseudokinase 1) (Pragmin) (Sugen kinase 223) (SgK223)
Q3KP66	Q3KP66	Innate immunity activator protein
Q70EL4	Q70EL4	Ubiquitin carboxyl-terminal hydrolase 43 (EC 3.4.19.12) (Deubiquitinating enzyme 43) (Ubiquitin thioesterase 43) (Ubiquitin-specific-processing protease 43)
Q9H6H4	Q9H6H4	Receptor expression-enhancing protein 4
Q14153	Q14153	Protein FAM53B (Protein simplet)
Q86VP3	Q86VP3	Phosphofurin acidic cluster sorting protein 2 (PACS-2) (PACS1-like protein)
Q6NUK4	Q6NUK4	Receptor expression-enhancing protein 3
O00206	O00206	Toll-like receptor 4 (hToll) (CD antigen CD284)
Q08AM6	Q08AM6	Protein VAC14 homolog (Tax1-binding protein 2)
Q96G01	Q96G01	Protein bicaudal D homolog 1 (Bic-D 1)
P23258	P23258	Tubulin gamma-1 chain (Gamma-1-tubulin) (Gamma-tubulin complex component 1) (GCP-1)
Q13535	Q13535	Serine/threonine-protein kinase ATR (EC 2.7.11.1) (Ataxia telangiectasia and Rad3-related protein) (FRAP-related protein 1)
Q15014	Q15014	Mortality factor 4-like protein 2 (MORF-related gene X protein) (Protein MSL3-2) (Transcription factor-like protein MRGX)
Q01850	Q01850	Cerebellar degeneration-related protein 2 (Major Yo paraneoplastic antigen) (Paraneoplastic cerebellar degeneration-associated antigen)
Q13131	Q13131	5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26)
P57059	P57059	Serine/threonine-protein kinase SIK1 (EC 2.7.11.1) (Salt-inducible kinase 1) (SIK-1) (Serine/threonine-protein kinase SNF1-like kinase 1) (Serine/threonine-protein kinase SNF1LK)
Q9H0K1	Q9H0K1	Serine/threonine-protein kinase SIK2 (EC 2.7.11.1) (Qin-induced kinase) (Salt-inducible kinase 2) (SIK-2) (Serine/threonine-protein kinase SNF1-like kinase 2)
Q53ET0	Q53ET0	CREB-regulated transcription coactivator 2 (Transducer of regulated cAMP response element-binding protein 2) (TORC-2) (Transducer of CREB protein 2)
P50406	P50406	5-hydroxytryptamine receptor 6 (5-HT-6) (5-HT6) (Serotonin receptor 6)
P58062	P58062	Serine protease inhibitor Kazal-type 7 (Esophagus cancer-related gene 2 protein) (ECRG-2)
P16452	P16452	Erythrocyte membrane protein band 4.2 (Erythrocyte protein 4.2) (P4.2)
Q9BYP7	Q9BYP7	Serine/threonine-protein kinase WNK3 (EC 2.7.11.1) (Protein kinase lysine-deficient 3) (Protein kinase with no lysine 3)
P54284	P54284	Voltage-dependent L-type calcium channel subunit beta-3 (CAB3) (Calcium channel voltage-dependent subunit beta 3)
Q13936	Q13936	Voltage-dependent L-type calcium channel subunit alpha-1C (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle) (Voltage-gated calcium channel subunit alpha Cav1.2)
O00716	O00716	Transcription factor E2F3 (E2F-3)
P10244	P10244	Myb-related protein B (B-Myb) (Myb-like protein 2)
Q5TKA1	Q5TKA1	Protein lin-9 homolog (HuLin-9) (hLin-9) (Beta subunit-associated regulator of apoptosis) (TUDOR gene similar protein) (Type I interferon receptor beta chain-associated protein) (pRB-associated protein)
P30101	P30101	Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein) (p58) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60)
P08582	P08582	Melanotransferrin (Melanoma-associated antigen p97) (CD antigen CD228)
Q9Y4K0	Q9Y4K0	Lysyl oxidase homolog 2 (EC 1.4.3.13) (Lysyl oxidase-like protein 2) (Lysyl oxidase-related protein 2) (Lysyl oxidase-related protein WS9-14)
Q9UIW2	Q9UIW2	Plexin-A1 (Semaphorin receptor NOV)
P12111	P12111	Collagen alpha-3(VI) chain
Q8N8Z6	Q8N8Z6	Discoidin, CUB and LCCL domain-containing protein 1
Q13753	Q13753	Laminin subunit gamma-2 (Cell-scattering factor 140 kDa subunit) (CSF 140 kDa subunit) (Epiligrin subunit gamma) (Kalinin subunit gamma) (Kalinin/nicein/epiligrin 100 kDa subunit) (Ladsin 140 kDa subunit) (Laminin B2t chain) (Laminin-5 subunit gamma) (Large adhesive scatter factor 140 kDa subunit) (Nicein subunit gamma)
Q13751	Q13751	Laminin subunit beta-3 (Epiligrin subunit bata) (Kalinin B1 chain) (Kalinin subunit beta) (Laminin B1k chain) (Laminin-5 subunit beta) (Nicein subunit beta)
Q86YJ5	Q86YJ5	E3 ubiquitin-protein ligase MARCH9 (EC 2.3.2.27) (Membrane-associated RING finger protein 9) (Membrane-associated RING-CH protein IX) (MARCH-IX) (RING finger protein 179) (RING-type E3 ubiquitin transferase MARCH9)
P42226	P42226	Signal transducer and activator of transcription 6 (IL-4 Stat)
Q14765	Q14765	Signal transducer and activator of transcription 4
P48039	P48039	Melatonin receptor type 1A (Mel-1A-R) (Mel1a receptor)
P49286	P49286	Melatonin receptor type 1B (Mel-1B-R) (Mel1b receptor)
P78358	P78358	Cancer/testis antigen 1 (Autoimmunogenic cancer/testis antigen NY-ESO-1) (Cancer/testis antigen 6.1) (CT6.1) (L antigen family member 2) (LAGE-2)
O60732	O60732	Melanoma-associated antigen C1 (Cancer/testis antigen 7.1) (CT7.1) (MAGE-C1 antigen)
P0C0S5	P0C0S5	Histone H2A.Z (H2A/z)
Q9Y2D9	Q9Y2D9	Zinc finger protein 652
O75081	O75081	Protein CBFA2T3 (MTG8-related protein 2) (Myeloid translocation gene on chromosome 16 protein) (hMTG16) (Zinc finger MYND domain-containing protein 4)
Q9HCU9	Q9HCU9	Breast cancer metastasis-suppressor 1
P53814	P53814	Smoothelin
P35221	P35221	Catenin alpha-1 (Alpha E-catenin) (Cadherin-associated protein) (Renal carcinoma antigen NY-REN-13)
Q99593	Q99593	T-box transcription factor TBX5 (T-box protein 5)
Q9Y5J7	Q9Y5J7	Mitochondrial import inner membrane translocase subunit Tim9
P49427	P49427	Ubiquitin-conjugating enzyme E2 R1 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme R1) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme R1) (Ubiquitin-conjugating enzyme E2-32 kDa complementing) (Ubiquitin-conjugating enzyme E2-CDC34) (Ubiquitin-protein ligase R1)
Q8N668	Q8N668	COMM domain-containing protein 1 (Protein Murr1)
O15524	O15524	Suppressor of cytokine signaling 1 (SOCS-1) (JAK-binding protein) (JAB) (STAT-induced STAT inhibitor 1) (SSI-1) (Tec-interacting protein 3) (TIP-3)
Q15759	Q15759	Mitogen-activated protein kinase 11 (MAP kinase 11) (MAPK 11) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 beta) (MAP kinase p38 beta) (p38b) (Stress-activated protein kinase 2b) (SAPK2b) (p38-2)
P63151	P63151	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha)
P51959	P51959	Cyclin-G1 (Cyclin-G)
Q9C0K0	Q9C0K0	B-cell lymphoma/leukemia 11B (BCL-11B) (B-cell CLL/lymphoma 11B) (COUP-TF-interacting protein 2) (Radiation-induced tumor suppressor gene 1 protein) (hRit1)
O43463	O43463	Histone-lysine N-methyltransferase SUV39H1 (EC 2.1.1.43) (Histone H3-K9 methyltransferase 1) (H3-K9-HMTase 1) (Lysine N-methyltransferase 1A) (Position-effect variegation 3-9 homolog) (Suppressor of variegation 3-9 homolog 1) (Su(var)3-9 homolog 1)
Q9ULH1	Q9ULH1	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 (130 kDa phosphatidylinositol 4,5-bisphosphate-dependent ARF1 GTPase-activating protein) (ADP-ribosylation factor-directed GTPase-activating protein 1) (ARF GTPase-activating protein 1) (Development and differentiation-enhancing factor 1) (DEF-1) (Differentiation-enhancing factor 1) (PIP2-dependent ARF1 GAP)
O00254	O00254	Proteinase-activated receptor 3 (PAR-3) (Coagulation factor II receptor-like 2) (Thrombin receptor-like 2)
O75478	O75478	Transcriptional adapter 2-alpha (Transcriptional adapter 2-like) (ADA2-like protein)
Q8N1N5	Q8N1N5	Cysteine-rich PAK1 inhibitor (CRIPak)
O94921	O94921	Cyclin-dependent kinase 14 (EC 2.7.11.22) (Cell division protein kinase 14) (Serine/threonine-protein kinase PFTAIRE-1) (hPFTAIRE1)
P35240	P35240	Merlin (Moesin-ezrin-radixin-like protein) (Neurofibromin-2) (Schwannomerlin) (Schwannomin)
Q15572	Q15572	TATA box-binding protein-associated factor RNA polymerase I subunit C (RNA polymerase I-specific TBP-associated factor 110 kDa) (TAFI110) (TATA box-binding protein-associated factor 1C) (TBP-associated factor 1C) (Transcription initiation factor SL1/TIF-IB subunit C)
Q6IBW4	Q6IBW4	Condensin-2 complex subunit H2 (Chromosome-associated protein H2) (hCAP-H2) (Kleisin-beta) (Non-SMC condensin II complex subunit H2)
Q7L591	Q7L591	Docking protein 3 (Downstream of tyrosine kinase 3)
O14559	O14559	Rho GTPase-activating protein 33 (Rho-type GTPase-activating protein 33) (Sorting nexin-26) (Tc10/CDC42 GTPase-activating protein)
P23497	P23497	Nuclear autoantigen Sp-100 (Nuclear dot-associated Sp100 protein) (Speckled 100 kDa)
Q9Y2R2	Q9Y2R2	Tyrosine-protein phosphatase non-receptor type 22 (EC 3.1.3.48) (Hematopoietic cell protein-tyrosine phosphatase 70Z-PEP) (Lymphoid phosphatase) (LyP) (PEST-domain phosphatase) (PEP)
Q13164	Q13164	Mitogen-activated protein kinase 7 (MAP kinase 7) (MAPK 7) (EC 2.7.11.24) (Big MAP kinase 1) (BMK-1) (Extracellular signal-regulated kinase 5) (ERK-5)
P41134	P41134	DNA-binding protein inhibitor ID-1 (Class B basic helix-loop-helix protein 24) (bHLHb24) (Inhibitor of DNA binding 1) (Inhibitor of differentiation 1)
O94868	O94868	F-BAR and double SH3 domains protein 2 (Carom) (Protein nervous wreck 1) (NWK1) (SH3 multiple domains protein 3)
Q9C0D3	Q9C0D3	Protein zyg-11 homolog B
Q7Z7L7	Q7Z7L7	Protein zer-1 homolog (Hzyg) (Zyg-11 homolog B-like protein) (Zyg11b-like protein)
P29597	P29597	Non-receptor tyrosine-protein kinase TYK2 (EC 2.7.10.2)
Q9H3S1	Q9H3S1	Semaphorin-4A (Semaphorin-B) (Sema B)
Q9Y4D7	Q9Y4D7	Plexin-D1
O15041	O15041	Semaphorin-3E
P42685	P42685	Tyrosine-protein kinase FRK (EC 2.7.10.2) (FYN-related kinase) (Nuclear tyrosine protein kinase RAK) (Protein-tyrosine kinase 5)
P34741	P34741	Syndecan-2 (SYND2) (Fibroglycan) (Heparan sulfate proteoglycan core protein) (HSPG) (CD antigen CD362)
P02768	P02768	Serum albumin
Q9BR76	Q9BR76	Coronin-1B (Coronin-2)
P53816	P53816	Phospholipase A and acyltransferase 3 (EC 2.3.1.-) (EC 3.1.1.32) (EC 3.1.1.4) (Adipose-specific phospholipase A2) (AdPLA) (Group XVI phospholipase A1/A2) (H-rev 107 protein homolog) (H-REV107) (HREV107-1) (HRAS-like suppressor 1) (HRAS-like suppressor 3) (HRSL3) (HREV107-3) (Renal carcinoma antigen NY-REN-65)
O75489	O75489	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-30kD) (CI-30kD) (NADH-ubiquinone oxidoreductase 30 kDa subunit)
P19525	P19525	Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)
Q00535	Q00535	Cyclin-dependent-like kinase 5 (EC 2.7.11.1) (Cell division protein kinase 5) (Serine/threonine-protein kinase PSSALRE) (Tau protein kinase II catalytic subunit) (TPKII catalytic subunit)
Q66K89	Q66K89	Transcription factor E4F1 (EC 2.3.2.27) (E4F transcription factor 1) (Putative E3 ubiquitin-protein ligase E4F1) (RING-type E3 ubiquitin transferase E4F1) (Transcription factor E4F) (p120E4F) (p50E4F)
O43561	O43561	Linker for activation of T-cells family member 1 (36 kDa phospho-tyrosine adapter protein) (pp36) (p36-38)
Q96JC9	Q96JC9	ELL-associated factor 1
P55199	P55199	RNA polymerase II elongation factor ELL (Eleven-nineteen lysine-rich leukemia protein)
P51946	P51946	Cyclin-H (MO15-associated protein) (p34) (p37)
P24863	P24863	Cyclin-C (SRB11 homolog) (hSRB11)
P50613	P50613	Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (39 kDa protein kinase) (p39 Mo15) (CDK-activating kinase 1) (Cell division protein kinase 7) (Serine/threonine-protein kinase 1) (TFIIH basal transcription factor complex kinase subunit)
